Date,Open,High,Low,Close,Adj Close,Volume
1991-11-08,1418.800049,1418.800049,1418.800049,1418.800049,1418.800049,0
1991-11-11,1416.900024,1416.900024,1416.900024,1416.900024,1416.900024,0
1991-11-12,1445.400024,1445.400024,1445.400024,1445.400024,1445.400024,0
1991-11-13,1453.400024,1453.400024,1453.400024,1453.400024,1453.400024,0
1991-11-14,1459.300049,1459.300049,1459.300049,1459.300049,1459.300049,0
1991-11-15,1445.599976,1445.599976,1445.599976,1445.599976,1445.599976,0
1991-11-18,1415.900024,1415.900024,1415.900024,1415.900024,1415.900024,0
1991-11-19,1365.099976,1365.099976,1365.099976,1365.099976,1365.099976,0
1991-11-20,null,null,null,null,null,null
1991-11-21,1387.900024,1387.900024,1387.900024,1387.900024,1387.900024,0
1991-11-22,1376.199951,1376.199951,1376.199951,1376.199951,1376.199951,0
1991-11-25,null,null,null,null,null,null
1991-11-26,1365.199951,1365.199951,1365.199951,1365.199951,1365.199951,0
1991-11-27,1371.599976,1371.599976,1371.599976,1371.599976,1371.599976,0
1991-11-28,1377.599976,1377.599976,1377.599976,1377.599976,1377.599976,0
1991-11-29,1384.199951,1384.199951,1384.199951,1384.199951,1384.199951,0
1991-12-02,1375.400024,1375.400024,1375.400024,1375.400024,1375.400024,0
1991-12-03,1371.199951,1371.199951,1371.199951,1371.199951,1371.199951,0
1991-12-04,1371.300049,1371.300049,1371.300049,1371.300049,1371.300049,0
1991-12-05,1361.199951,1361.199951,1361.199951,1361.199951,1361.199951,0
1991-12-06,1360.599976,1360.599976,1360.599976,1360.599976,1360.599976,0
1991-12-09,1347.099976,1347.099976,1347.099976,1347.099976,1347.099976,0
1991-12-10,1304.500000,1304.500000,1304.500000,1304.500000,1304.500000,0
1991-12-11,1273.199951,1273.199951,1273.199951,1273.199951,1273.199951,0
1991-12-12,null,null,null,null,null,null
1991-12-13,1325.699951,1325.699951,1325.699951,1325.699951,1325.699951,0
1991-12-16,1346.800049,1346.800049,1346.800049,1346.800049,1346.800049,0
1991-12-17,1347.400024,1347.400024,1347.400024,1347.400024,1347.400024,0
1991-12-18,1338.400024,1338.400024,1338.400024,1338.400024,1338.400024,0
1991-12-19,1332.900024,1332.900024,1332.900024,1332.900024,1332.900024,0
